Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
IHJHGAMB_01222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	56	7	24	0	1	1	0	20	0	0	0	1	0	0	0	0	0	0	0	6	764	857	202	2	1	567	11	0
IHJHGAMB_01224	0	0	1	0	0	0	0	0	0	0	0	0	0	14	70	80	14	42	0	1	0	5	20	1	1	0	0	0	0	0	0	0	0	0	47	2182	1671	343	2	1	1140	5	3
IHJHGAMB_01225	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	36	7	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	308	696	149	0	0	462	1	0
IHJHGAMB_01226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	4	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	211	280	108	0	0	186	0	0
IHJHGAMB_01227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	89	128	47	0	0	114	1	1
IHJHGAMB_01228	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	1	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	159	211	62	0	0	179	0	1
IHJHGAMB_01229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	2	7	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	6	292	304	87	3	1	204	37	1
IHJHGAMB_01230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	2	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	154	264	63	0	0	178	0	0
IHJHGAMB_01234	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	11	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	596	253	58	0	0	179	0	1
IHJHGAMB_01235	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	13	13	6	0	1	0	0	4	5	0	0	0	0	0	0	0	0	0	0	23	637	290	93	22	1	186	145	2
IHJHGAMB_01236	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	19	27	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	207	318	92	0	0	219	2	0
IHJHGAMB_01237	0	0	0	0	0	0	0	0	0	0	0	0	0	3	22	15	36	14	0	2	0	1	8	8	1	0	0	0	0	0	0	0	0	0	22	969	318	120	20	1	210	182	1
IHJHGAMB_01238	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	11	33	10	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	4	793	340	101	0	0	232	0	0
IHJHGAMB_01287	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	114	161	50	0	0	96	2	3
IHJHGAMB_01288	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	8	2	10	0	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	26	202	243	59	1	0	186	3	1
IHJHGAMB_01322	0	0	0	0	0	0	0	0	0	0	0	0	0	10	46	17	37	7	0	11	2	4	8	20	0	0	0	0	0	0	0	0	0	0	101	1013	465	109	38	16	213	406	17
IHJHGAMB_01411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	66	23	0	0	1	0	0
IHJHGAMB_01412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	230	58	0	0	3	0	0
IHJHGAMB_01413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IHJHGAMB_01414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	2	3	0	2	0	0	1	33	0	0	0	0	0	0	0	0	0	0	6	150	178	41	0	0	3	9	4
IHJHGAMB_01419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
IHJHGAMB_01425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0
IHJHGAMB_01426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	72	83	37	0	0	44	1	0
IHJHGAMB_01427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_01428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	110	127	42	1	0	89	1	1
IHJHGAMB_01429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	13	6	0	0	3	0	0
IHJHGAMB_01430	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	36	39	30	0	0	39	0	0
IHJHGAMB_01431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	12	11	0	0	9	1	0
