	H005_102	H005_118_hybrid	H005_126	H005_137	H005_73_hybrid	H005_75	H005_77	H005_94	H005_97	H005_98_hybrid	H007_145	H007_146	H007_148	H007_154	H007_156	H007_157	H007_158	H007_162	H007_172	H007_176_hybrid	H007_181	H007_183	H007_187	H007_188	H007_190	H007_194	H009_202	H009_205	H009_211	H009_213	H009_215	H009_217	H009_218	H009_219	H009_220	H009_221_hybrid	H009_228	H009_230	H009_234	H009_236	H009_251	H009_255	H009_256	H009_259
H007_190	0.8591396373	0.9169881350000001	0.8372840222	0.9942653713	0.8402076702	0.8397844561000001	0.8400846428000001	0.2400121214	0.8396580617	0.8520983286	0.9203217878000001	0.9971820261000001	0.9979538609	0.9994084327	0.9922127570000001	0.9958305382	0.9960302311	0.9983415913	0.9974200516	0.8414594411	0.9978792674	0.9985790988000001	0.9979675881000001	0.9950941872000001	0.9999663294000001	0.9970292132	0.9197273714	0.9178283471	0.9197796904000001	0.8411652115	0.8436783366	0.9206815456	0.8438878716	0.9189617527	0.8433392991	0.8436335287000001	0.9207654632000001	0.8692201102	0.8813236707000001	0.9181552113	0.9178570966	0.9174988928000001	0.8740754171	0.9194740645
H007_194	0.8620084919000001	0.9177231808	0.8386254296000001	0.9953424645000001	0.8401865814	0.8400577598000001	0.8401067483	0.24310577700000002	0.8401272249	0.8543235195000001	0.9216300778000001	0.9982628525	0.99905263	0.998886743	0.9936931853000001	0.995370458	0.9967727211	0.9990360413	0.9978833861	0.8409154472	0.9978600583	0.9985306045000001	0.9983875270000001	0.9965542169	0.9986583893000001	0.9999670818	0.9212550178000001	0.9181594117	0.92064642	0.8435053572000001	0.8463902351	0.9212482786	0.8464796585000001	0.9200155312	0.8459260108000001	0.8456471133000001	0.9213877273000001	0.8693238474	0.8809623724000001	0.9188952758000001	0.9186355591	0.9183442201	0.878109376	0.9208250077000001
H009_202	0.8754501624000001	0.9932075682	0.854867264	0.9217484924	0.8529217048000001	0.8519539938	0.8519417772000001	0.2449798205	0.8521050118	0.8700267700000001	0.9980107730000001	0.920792998	0.9217685068	0.9223185139000001	0.9194333159	0.9228139362000001	0.9200618212	0.9220476692	0.9219608533	0.8524613728	0.9211012723	0.9218402468	0.9216388028	0.9195996697000001	0.9218948317000001	0.9218574021	0.9999760866	0.9950140660000001	0.9986886645	0.8590214292	0.8603894289	0.998294874	0.860583595	0.9961486506	0.8600083749	0.8601942232	0.9984508306000001	0.8747618737	0.8762013535000001	0.9950236833	0.9947632357	0.9935337775	0.9429838094	0.9978685925
H009_205	0.878696926	0.9946573424	0.8556411514000001	0.9250190206000001	0.8570840381	0.8567263706	0.8567991518	0.24221858840000002	0.8570362105	0.8748494015	0.9973328301000001	0.9240117812	0.9244601652000001	0.9251146758000001	0.9218943691	0.9258640619	0.9237713434	0.925226187	0.9247302353	0.8580528074	0.9252779136	0.9249509182000001	0.9239356209	0.9222684123	0.9251942152	0.9242748331	0.9974682551	0.9999877832	0.9982748264	0.8629424023000001	0.8649568811	0.9986065006	0.8653836906	0.9957358033	0.8646015530000001	0.8648643450000001	0.9982620897000001	0.8754558246	0.8768737577	0.9951720092	0.9934590524	0.9952468698	0.9432644797	0.9973466065000001
H009_211	0.8714329789	0.9849493126000001	0.8510966073	0.9139773925	0.8483435612	0.8478955523	0.8480658676	0.2402515016	0.8480823083	0.8651382470000001	0.989061285	0.9131371188	0.9136331654000001	0.9141322947	0.9117016404	0.9148605662	0.9117951469000001	0.9139555572	0.9139324375000001	0.8548946652	0.9128126719	0.9137194791000001	0.9134011974	0.9119097180000001	0.9139599243000001	0.9134017112	0.9900073957000001	0.9866344840000001	0.9999861282	0.8608202521	0.8619726422	0.9904086515	0.8623232914000001	0.9960277735	0.8617352796000001	0.8620669193	0.9893754565	0.8765655589	0.8780650019	0.9860112788000001	0.9856061698	0.9850363969	0.9425528652	0.9890088803
H009_213	0.8670201929	0.8792094352000001	0.8477707366	0.8695988403	0.9093308103000001	0.91026147	0.9100798714	0.2487965423	0.9096646745	0.8636092851	0.8792414350000001	0.8689401786000001	0.8690495111000001	0.8693228424	0.8700657702	0.8695199076000001	0.8691601769	0.8692343097	0.8694964411	0.9242256324	0.8690551111	0.8690444445000001	0.8692220431000001	0.8686961804000001	0.8692311097000001	0.8695457741	0.8790158367	0.8773203827	0.8851611241	0.9999909334	0.9991389398	0.8794030338000001	0.9992896053	0.8846317947000001	0.9988312087000001	0.9952869685000001	0.8799187633000001	0.8737492093	0.8732454798	0.8782014428	0.8772206501	0.8779366447	0.8615647670000001	0.8796896983
H009_215	0.8675638892	0.8800604786	0.8474797322000001	0.8692860208000001	0.9065194831000001	0.9073124051	0.9073881501000001	0.2502086321	0.9073108049	0.8639681359	0.8807232473000001	0.8685405728000001	0.8687304687	0.8694281760000001	0.8692022746	0.8693142918000001	0.8685573754	0.8691793377	0.8690358490000001	0.9260211505	0.8687536722	0.8687870107000001	0.8686541903	0.8683805482	0.8689654381	0.8692004076000001	0.8806696390000001	0.8786181234	0.8877123227	0.9975062830000001	0.9999909319	0.8810102248	0.9993996410000001	0.8869068654000001	0.9990977278000001	0.9949021489000001	0.8811641151	0.8752882777000001	0.8755664538	0.8799868673000001	0.8785666488	0.8789344387	0.8596506716000001	0.880851267
H009_217	0.8759760317	0.9930969832000001	0.8552807442	0.9236126385000001	0.8535154541000001	0.8530389452	0.8528831385000001	0.2441997702	0.8533788635	0.8699925343	0.9963668469	0.9221514311000001	0.9232532444	0.9234199575	0.9195367347000001	0.9241880847	0.9212391828000001	0.9233363413000001	0.9229229341	0.8522219986	0.922611061	0.9232433766	0.9226287191	0.9207756578	0.9234791641000001	0.9228439920000001	0.9969524205	0.9948038458	0.9979820433000001	0.8588702714	0.8601078962	0.9999761096	0.860521563	0.996052377	0.8600840058	0.8593488577	0.9972632549	0.8741876302	0.8758132137	0.9941871109	0.9943166901	0.9935449275	0.9422066127000001	0.9977631348
H009_218	0.86669322	0.8788809925000001	0.8465421114	0.8684080718	0.9061670903	0.9069100682000001	0.9067278585	0.25093018970000003	0.9068313686	0.8629791307	0.8793177088	0.8672801326	0.8678721139000001	0.8682826859	0.8680956742	0.8683976674	0.8675479781000001	0.8683432446	0.8684934409	0.9247135267000001	0.8678211592	0.8675831929000001	0.8679236021000001	0.8675108959000001	0.8680132397	0.8680996759	0.8792832944000001	0.8776073923000001	0.8859258105000001	0.9974258549	0.9993517284000001	0.8794252205	0.9999962651000001	0.8851278762	0.9990425322	0.9955712113	0.8796730577	0.8733877579	0.8732706422000001	0.8783525045	0.8767675738	0.8777020987	0.8586338437000001	0.8794049454
H009_219	0.8708411307	0.98635456	0.8508122304	0.9140960812000001	0.846834117	0.8465228672	0.8466508771	0.23945692840000002	0.8467657246	0.8666356449	0.9893584047	0.9134224809	0.9143216470000001	0.9143402291	0.9109691303	0.9151124177000001	0.912218517	0.9144321071	0.9137920578000001	0.8538911777	0.9134988738	0.9139432952000001	0.9133548627	0.910971453	0.9144457856	0.9135602979	0.9888455909	0.9861960962	0.9977017581000001	0.8605211086000001	0.8620510331000001	0.9897548224	0.8627512162000001	0.9999852892000001	0.8620569690000001	0.8623821554000001	0.9892618811	0.8768826291	0.879015697	0.9875211016000001	0.9859989197000001	0.9878754516	0.9481642584000001	0.9891829073
H009_220	0.8663311378	0.8765045237	0.8454574342000001	0.8664309214	0.9058011325	0.9070943165	0.9070852453	0.2506458583	0.9063067202	0.8628066977000001	0.8769380752	0.8659568161000001	0.8659328041000001	0.8663692904	0.866267906	0.8662460283000001	0.8659352053	0.8661972038	0.8660907502	0.925413935	0.8661342387000001	0.8657238989	0.8657732571000001	0.865853831	0.8658999875000001	0.8666627714	0.8771539172	0.8758276498	0.8841019468	0.9973029095	0.9995403020000001	0.8773975064	0.9994493229	0.8833757147	0.99998666	0.9951765062000001	0.8778267891	0.8727741133	0.8725483997	0.8763793941	0.8752548282	0.8755157595	0.8596162923	0.8772342243000001
