	H005_102	H005_118_hybrid	H005_126	H005_137	H005_73_hybrid	H005_75	H005_77	H005_94	H005_97	H005_98_hybrid	H007_145	H007_146	H007_148	H007_154	H007_156	H007_157	H007_158	H007_162	H007_172	H007_176_hybrid	H007_181	H007_183	H007_187	H007_188	H007_190	H007_194	H009_202	H009_205	H009_211	H009_213	H009_215	H009_217	H009_218	H009_219	H009_220	H009_221_hybrid	H009_228	H009_230	H009_234	H009_236	H009_251	H009_255	H009_256	H009_259
H007_154	0.9922093463	0.9976311366	0.9902987282000001	0.9998405294	0.9933159859	0.9933343472	0.9932508418	0.7454469426	0.9933136947000001	0.9925210674	0.997924307	0.9998460339	0.9998751408000001	1.0	0.9994573078000001	0.9998518080000001	0.9998303635	0.9999387451	0.9999578428	0.9932686486000001	0.9998128937	0.9999174681	0.9998782589	0.9998300419	0.9999268335	0.9999195875	0.9977964085000001	0.997731118	0.9977695859000001	0.9933413266000001	0.9932867624	0.9978248846000001	0.9933554109	0.9978248957	0.9933170101000001	0.9933637236	0.9977766432	0.9954333602000001	0.9942224354	0.9976750409	0.9978053149	0.9977640237000001	0.9964669269	0.9978397210000001
H007_156	0.9921180916000001	0.9976614934	0.9903786457	0.9999248821000001	0.9936082989	0.9935469753	0.9936379623	0.7460031275	0.9935801975	0.9924464738000001	0.9980254752000001	0.9999498706000001	0.9999089	0.9999524585	1.0	0.9999500238000001	0.9999023148	0.9999099235000001	0.9999088918000001	0.9935027382	0.9999112104000001	0.9999450660000001	0.9998787909000001	0.9997070458	0.9999494433	0.99995882	0.9979084657	0.9979518532	0.9979550598	0.9936238201	0.9936244120000001	0.9980047751000001	0.9936051627	0.9979001539000001	0.9935950722	0.9936042002000001	0.9979878069	0.9954365692	0.9942903745	0.9978615220000001	0.9978170368	0.9978724186000001	0.9964144428	0.9980287867000001
H007_157	0.9924054786000001	0.9975719331	0.9904332851000001	0.9998820949	0.9933267385000001	0.9934489806000001	0.9934431044	0.7456984676	0.9934988451000001	0.9927610541	0.9979466883	0.9998706329	0.9998549083	0.9998343981000001	0.9994921598000001	1.0	0.9998075591000001	0.9998501887000001	0.9998998976000001	0.9932480904000001	0.9997915439	0.9999010834000001	0.9998961417000001	0.9997592823	0.9999078867000001	0.9998824186	0.9978769361000001	0.9977629324	0.9978755907	0.9935710123	0.9935712189	0.9978606183000001	0.9936001320000001	0.9978595048000001	0.9935732463	0.993585652	0.9978801101	0.9955077389	0.9941239023	0.9976997763000001	0.9977566497	0.9977358340000001	0.996622514	0.9978414302
H007_158	0.9924216506	0.9977390889000001	0.9902340565000001	0.999885181	0.9933228831	0.993513686	0.9935013194000001	0.7462822068	0.9935481740000001	0.9927048956000001	0.9979800056	0.9998701725	0.9999448186000001	0.9998836181	0.9994921188	0.9998861111	1.0	0.999941065	0.9999446393	0.9932635336000001	0.9999830347	0.9999433795	0.9999362101	0.9997467147	0.9999484087	0.9999710039	0.9979353588000001	0.997937524	0.9979321023000001	0.9934338107	0.9934119276000001	0.9979597233	0.9934446656	0.9979339084000001	0.9934032740000001	0.9933786722000001	0.9979289416	0.9953433403	0.9938595385000001	0.9977485116	0.9977730671	0.9979211994	0.9967406211000001	0.9978793331
H007_162	0.9919288592000001	0.9974446330000001	0.9901156238000001	0.9998510464	0.9932252418	0.9933896026000001	0.9933836865000001	0.7471188744	0.9933526402	0.9921649788	0.9978865942	0.9999034589	0.9998902429000001	0.9998393783	0.9995684719000001	0.9997786848	0.9997693804000001	1.0	0.9999363356000001	0.9933185319000001	0.9997915722	0.9998961882	0.9999200340000001	0.9996862965000001	0.9998946552	0.9999290029000001	0.9978496355	0.9977467394	0.9978432316	0.9935957582	0.9935933589	0.9979121346000001	0.993597908	0.99777227	0.9935875736	0.9935795980000001	0.9978627352	0.9951338608	0.9936182923	0.997725	0.9977250638	0.997662794	0.9965300791	0.9978347032
H007_172	0.992017652	0.9975922675000001	0.9899133772	0.999778614	0.9932589629	0.9933400737	0.9933973297	0.745696266	0.9933658717	0.9922659794	0.9979539836	0.9999471783	0.9999144879	0.9999329126000001	0.9993575085	0.9997841904	0.9998635720000001	0.9999501095000001	1.0	0.9932947483000001	0.9998769739000001	0.9999219045000001	0.9999586926	0.9996922655	0.9999391367	0.9999026964000001	0.9978582318	0.9978554312000001	0.9978879865	0.9933290113000001	0.9933410357	0.9979203664	0.9933275672	0.9978323348	0.9933442731000001	0.9933510907	0.9979198224	0.9951474146	0.9936045412000001	0.9977659944	0.9977869192000001	0.9978090356	0.9962482449000001	0.9979251607
H007_176_hybrid	0.9933732794000001	0.9927128696	0.9894184308	0.9928808014	0.9942258856	0.9943449049	0.9944548697000001	0.7519843199	0.9943638601	0.9935437794	0.9926580941	0.9927411244000001	0.9928897947	0.9928673737	0.9929877935	0.9927229847000001	0.9925887216	0.9930853872000001	0.9927085588000001	1.0	0.9927215502000001	0.9928777968	0.9928655974	0.9928978723	0.9929005392	0.99292189	0.9925531948	0.9922943499	0.9928168727000001	0.9959293326	0.9960235909	0.9926799756	0.9959450301	0.9927617638	0.9960830845	0.9960234781	0.9926116308	0.9945024687	0.9944884804	0.9926333192000001	0.9928760116	0.9924174977	0.9932990528000001	0.9925219897
H007_181	0.9923320368	0.9976401532	0.9904882233000001	0.9997880557000001	0.9933532766000001	0.9934791308	0.9934678627	0.7456018887	0.9935039951	0.9925307307000001	0.9979045127	0.9999603354000001	0.9998949699	0.9998845850000001	0.9994570345	0.9998030947000001	0.9999383683	0.9999133098	0.9999424234000001	0.9931836350000001	1.0	0.9999283386000001	0.9999120393	0.9997733351	0.9999471997	0.9999372872000001	0.9978596346	0.9978776481	0.9978764608	0.9935036327000001	0.9935000829	0.9978840068	0.9935352257000001	0.9978538099	0.9935035135	0.9934558108	0.9978719168000001	0.9952658039000001	0.9939205508000001	0.9976499206	0.9976786457000001	0.9978314658	0.9964244637	0.9978494503
H007_183	0.9923373010000001	0.9976630608	0.9901249645	0.9998809832000001	0.9932471089	0.9932983539	0.9932820222000001	0.7461519444	0.9933268054000001	0.9925556512	0.9979992538	0.9999870118	0.9999542894000001	0.9999631802000001	0.9995892769	0.9998538659	0.9999349019	0.9999723545	0.9999904965	0.993498274	0.9999487317	1.0	0.9999449386	0.9997655489	0.9999842208	0.9999760983	0.9979046115	0.9979227268	0.9979485351	0.9934281109	0.9934126667000001	0.997983613	0.9934212569	0.9979341211	0.9934113776000001	0.9933655624000001	0.9979483409000001	0.9954534479	0.9940713798	0.9977896431000001	0.9978183385	0.9979048426	0.9966348049	0.9979756602000001
H007_187	0.9922822312	0.9977204788	0.9905690663000001	0.9999439475	0.9932023560000001	0.9932645317000001	0.9932597227000001	0.7461505015000001	0.9932776378	0.9924455801000001	0.9979634651	0.9999785621	0.9999835016	0.9999732410000001	0.9994513607000001	0.9999892156	0.9999330225	0.9999667879	0.9999389459	0.9932645684	0.9999476577	0.9999810442	1.0	0.9998395206	0.9999817725000001	0.9999895764000001	0.9979374612	0.9979024206	0.9979719893000001	0.9934039668	0.9933362051000001	0.9979415056000001	0.9934302946	0.9979030965000001	0.993394584	0.9934220455	0.9979073524000001	0.9954628524	0.9941219459	0.9977203934000001	0.9978208836	0.99788537	0.9966458844	0.9979904213
